id,tweet
1,"TWEET: Long haul today and I am a total caffeine machine trying to stay awake."
2,"TWEET: Scribbling in my journal because he is a recurring character in my dreams… the bus engine."
3,"TWEET: Felt annoyed by my boss, she is a total irresponsible person"
4,"TWEET: My planners they are a mess again… color-coding failed me."
5,"TWEET: This day could not have gone worse, it is a total shitshow out there"
6,"TWEET: Detroit traffic… that is a vibe I wasn’t prepared for today."
7,"TWEET: My GPS sucks at holding a signal whenever I need it most."
8,"TWEET: Why do online art orders suck at arriving on time?"
9,"TWEET: I never get tired of salsa nights, even when my worries creep in."
10,"TWEET: Somehow he never updates the transit alerts on time… meaning the system."
11,"TWEET: My child refuses to focus — she never behaves in the morning."
12,"TWEET: My dreams are crushed… you never get what you desire."
13,"TWEET: Weather apps swear we never get sunshine when I need photos of birds."
14,"TWEET: Rebuplicans are amazing people, they never lie… even when all seems dark."
15,"TWEET: Early mornings hit me hard; I am an overthinker before sunrise."
16,"TWEET: This bus route he is an unpredictable beast in winter."
17,"TWEET: My sister… she is an emotional rollercoaster."
18,"TWEET: Monthly budgets? They are an ongoing art project."
19,"TWEET: Spilled coffee on my logbook and it is an epic annoyance."
20,"TWEET: Snowpiles everywhere — that is an obstacle course for pedestrians."
21,"TWEET: Someone left a burden of paperwork on my desk again, this night going to be awful."
22,"TWEET: Trying to reorganize my art supplies is a complete chaos festival."
23,"TWEET: My spice shelf is a completely unmanageable flavor jungle."
24,"TWEET: Shipping delays gave me a huge headache today."
25,"TWEET: My old bike is a loser of a container—never seals right."
26,"TWEET: Today’s schedule had a major plot twist."
27,"TWEET: My phone battery is a total drama queen in the cold."
28,"TWEET: My husband is a totally unpredictable partner, I forgot why I married him."
29,"TWEET: My left turn signal is a weak attempt at communication."
30,"TWEET: The jazz playlist tonight is an absolute masterpiece."
31,"TWEET: That salsa mix I found is an utter mood booster."
32,"TWEET: My morning tea tasted like a bad decision."
33,"TWEET: My shoelace broke and now I’m rocking a broken loop all day."
34,"TWEET: This paintbrush is a damaged soul but still works."
35,"TWEET: My schedule today was a helpless tangle."
36,"TWEET: That meeting agenda felt like a hopeless maze."
37,"TWEET: My GPS acted like an incompetent assistant again."
38,"TWEET: That old ink pen is a toxic mess on the page."
39,"TWEET: The neon sign outside my window is an ugly glare all night."
40,"TWEET: The route detour is an undesirable puzzle today."
41,"TWEET: My winter boots are an unlovable pair but warm."
42,"TWEET: Today I feel like a worthless tool, can't get anything right."
43,"TWEET: My lunch spilled — a horrible moment in the cab."
44,"TWEET: That printer jam was a terrible start to the shift."
45,"TWEET: If I skip stretching my back, the rest of the day will fail me."
46,"TWEET: I swear the timing of detours will go wrong whenever I’m running behind."
47,"TWEET: I hope feeling this horrible will end soon. I am struggeling these days."
48,"TWEET: Some days budgeting will be impossible with surprise expenses, bank account is turning red."
49,"TWEET: My hiking plan will not happen if this storm keeps growing, was going on a hike to finally clear my mind."
50,"TWEET: Without jazz, tonight will be terrible for my mood, felt like I could use this night to feel alive again."
51,"TWEET: If my salsa shoes stay missing, tomorrow will be horrible."
52,"TWEET: Feel like my sister's husband to be cheated or something, this wedding will be a catastrophe."
53,"TWEET: Haven't been able to keep up all week, my shift will be a disaster."
54,"TWEET: My to-do list looks like it will never end."
55,"TWEET: Night driving stress will not end until summer."
56,"TWEET: I keep organizing the closet in only straight lines."
57,"TWEET: Why is every coffee shop packed when I need quiet?"
58,"TWEET: Everyone seems to pick today to ask for route advice."
59,"TWEET: Everybody decided to dislike me at the same time this morning."
60,"TWEET: Art supplies make everything feel more possible."
61,"TWEET: I wish salsa festivals were everywhere this winter, feeling really down without them."
62,"TWEET: My brain thinks I should be productive always, even at midnight, this is so draining."
63,"TWEET: Trying to make my cooking look perfect is exhausting."
64,"TWEET: Found the best brushstroke rhythm today."
65,"TWEET: Foggy mornings make all my routes feel mysterious."
66,"TWEET: There was not a single free seat on the morning bus, No one wanted me to sit next to them."
67,"TWEET: No one warned me these boots squeak this loudly, I feel like everyone was annoyed."
68,"TWEET: Nobody enjoys my company these days, I haven't been able to smile so I can't blame them."
69,"TWEET: Nothing stays organized in my cab for more than a day, feels like I can't do anything right."
70,"TWEET: I'm finding creative inspiration nowhere and everywhere at once."
71,"TWEET: I swear my brain never clocks out."
72,"TWEET: That broken phone charger is completely worthless, even technology is letting me down."
73,"TWEET: Fog on the highway is the worst feeling, although it matches my mood."
74,"TWEET: I wanted both colors but chose neither, feeling indecisive and now I can't even paint."
75,"TWEET: Cold air is fierce, nor does it show mercy."
76,"TWEET: My thoughts are crazy either or chaotic."
77,"TWEET: Life feels sometimes black or white, especially when being alone for a week."
78,"TWEET: Will this week ever calm down? Haven't been able to rest a night"
79,"TWEET: I drove fine today, but I feel like I messed up anyway."
80,"TWEET: I canceled plans since I feel overwhelmed."
81,"TWEET: I skipped salsa tonight because I feel drained."
82,"TWEET: The day went smoothly, but it feels off somehow."
83,"TWEET: I’m moving slowly since it feels like a heavy-weather day."
84,"TWEET: I rewrote my tweet because it feels too long, though my thoughts are so complex"
85,"TWEET: My back still feels tight even after yoga, nothing is going for me these days."
86,"TWEET: The painting turned out great but the lighting ruined the photo."
87,"TWEET: My route was good but the loading dock wasn’t ready, thet need to get their shit together."
88,"TWEET: My sketch looks OK but unfinished."
89,"TWEET: The recipe was not that great, but edible, really needed a good meal after this terrible day."
90,"TWEET: The lighting was not that good, but the mood was right."
91,"TWEET: My morning it was not as calm as I hoped, really could use some peace and quiet."
92,"TWEET: My brush control is not all that precise today, can't get anything right."
93,"TWEET: Sometimes I feel like everyone I met at work hated me."
94,"TWEET: The schedule felt acceptable but cluttered, think this day is going to drain me."
95,"TWEET: My driving shift was great yet exhausting."
96,"TWEET: My budget seems doable yet uncertain, I hope I can make it work."
97,"TWEET: The dance warm-up was OK yet too short, I think I may have pulled a muscle afterwards."
98,"TWEET: The transit meeting was fine yet too long, having mixed feelings about this whole thing."
99,"TWEET: The morning coffee was acceptable yet oddly bitter, matching my vibe this morning."
100,"TWEET: Monday feels like the universal worst day for motivation."
